CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE
41693250,YEAH SHANGHAI DELUXE,1,50,MOTT STREET,10013,2125664884,1,5/14/15,Violations were cited in the following area(s).,4,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",1,17,1,5/14/15,9/19/16,Cycle Inspection / Re-inspection
41668452,SBARRO,1,159,WEST   33 STREET,10001,2125641909,8,7/3/13,Violations were cited in the following area(s).,2,Cold food item held above 41퉌_ F (smoked fish and reduced oxygen packaged foods above 38 퉌_F) except during necessary preparation.,1,13,0,7/3/13,9/19/16,Cycle Inspection / Re-inspection
40704155,ERAWAN THAI CUISINE,2,4231,BELL BOULEVARD,11361,7184282112,22,4/9/13,Violations were cited in the following area(s).,6,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",1,12,0,4/9/13,9/19/16,Cycle Inspection / Re-inspection
41053746,REGO PITA,2,9712,QUEENS BOULEVARD,11374,7188972746,29,5/6/13,Violations were cited in the following area(s).,6,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",1,12,0,5/6/13,9/19/16,Cycle Inspection / Initial Inspection
41628105,NEW IMPERIAL KITCHEN,0,303,SCHENECTADY AVENUE,11213,7183638886,1,10/3/13,Violations were cited in the following area(s).,4,Live roaches present in facility's food and/or non-food areas.,1,10,0,10/3/13,9/19/16,Cycle Inspection / Re-inspection
41237575,COLD STONE CREAMERY,2,8028,COOPER AVENUE,11385,7183863835,30,8/20/13,Violations were cited in the following area(s).,6,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,1,11,0,8/20/13,9/19/16,Cycle Inspection / Re-inspection
41009678,LASSO,1,192,MOTT STREET,10012,2122192353,7,3/30/15,Violations were cited in the following area(s).,4,Evidence of mice or live mice present in facility's food and/or non-food areas.,1,10,0,3/30/15,9/19/16,Cycle Inspection / Re-inspection
41478031,GUY & GALLARD,1,240,WEST   40 STREET,10018,2123021028,0,12/5/13,Violations were cited in the following area(s).,2,Cold food item held above 41퉌_ F (smoked fish and reduced oxygen packaged foods above 38 퉌_F) except during necessary preparation.,1,40,3,12/5/13,9/19/16,Cycle Inspection / Re-inspection
40372787,SHABU-SHABU 70 RESTAURANT,1,314,EAST   70 STREET,10021,2128615635,5,5/2/16,Violations were cited in the following area(s).,4,Evidence of mice or live mice present in facility's food and/or non-food areas.,1,12,0,5/2/16,9/19/16,Cycle Inspection / Re-inspection
50003672,FRESH & CO,1,309,MADISON AVE,10017,2125337374,31,1/7/16,Violations were cited in the following area(s).,6,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",1,10,0,1/7/16,9/19/16,Cycle Inspection / Initial Inspection
40544823,MURRAY'S BAGELS,1,500,AVENUE OF THE AMERICAS,10011,2124622830,21,3/9/15,Violations were cited in the following area(s).,6,"Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.",1,22,1,3/9/15,9/19/16,Cycle Inspection / Re-inspection
50006227,VYNL,1,756,9TH AVE,10019,2129742003,0,12/29/14,Violations were cited in the following area(s).,10,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",0,9,0,12/29/14,9/19/16,Cycle Inspection / Initial Inspection
41060783,BEST OF THE BEST DELICATESSEN,1,11,PARK PLACE,10007,2126194266,32,7/16/13,Violations were cited in the following area(s).,4,Live roaches present in facility's food and/or non-food areas.,1,13,0,7/16/13,9/19/16,Cycle Inspection / Re-inspection
50009823,PAM REAL THAI 49,1,404,W 49TH ST,10019,2123337500,22,3/27/15,Violations were cited in the following area(s).,6,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,1,5,0,3/27/15,9/19/16,Cycle Inspection / Re-inspection
50042074,YES GARDEN,4,183,BROAD ST,10304,7184428271,1,5/24/16,Violations were cited in the following area(s).,4,Food Protection Certificate not held by supervisor of food operations.,1,12,0,5/24/16,9/19/16,Cycle Inspection / Re-inspection
41714016,LA ABUNDANCIA,2,9419,ROOSEVELT AVENUE,11372,7183358800,2,12/2/15,Violations were cited in the following area(s).,10,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",0,13,0,12/2/15,9/19/16,Cycle Inspection / Re-inspection
50042596,KENTA SUSHI BAR,2,3923,BELL BLVD,11361,7182254898,5,6/9/16,Violations were cited in the following area(s).,8,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,0,13,0,6/9/16,9/19/16,Cycle Inspection / Initial Inspection
40510286,ROYS REST & SPORTS BAR,2,11101,LIBERTY AVENUE,11419,7186412254,33,10/11/14,Violations were cited in the following area(s).,8,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,0,13,0,10/11/14,9/19/16,Cycle Inspection / Initial Inspection
41320401,EL MANANTIAL BAKERY,1,1220,SAINT NICHOLAS AVE,10032,2127950045,34,9/2/14,Violations were cited in the following area(s).,5,Insufficient or no refrigerated or hot holding equipment to keep potentially hazardous foods at required temperatures.,1,28,3,9/2/14,9/19/16,Cycle Inspection / Re-inspection
41632528,PRET A MANGER,1,1,ASTOR PL,10003,2123280015,31,2/6/13,Violations were cited in the following area(s).,2,Cold food item held above 41퉌_ F (smoked fish and reduced oxygen packaged foods above 38 퉌_F) except during necessary preparation.,1,9,0,2/6/13,9/19/16,Cycle Inspection / Re-inspection
41256254,EL POLLO INKA PERU,2,7806,101 AVENUE,11416,7187382459,2,7/16/14,Violations were cited in the following area(s).,8,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,0,30,3,7/16/14,9/19/16,Cycle Inspection / Re-inspection
50037301,TACO Y BURRITO [EL ANCLA PUERTO PLATA],1,142,NAGLE AVE,10040,2125671574,2,10/14/15,Violations were cited in the following area(s).,10,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,0,2,0,10/14/15,9/19/16,Pre-permit (Operational) / Re-inspection
41628361,121 FULTON STREET,1,121,FULTON STREET,10038,6465456647,0,9/3/14,Violations were cited in the following area(s).,4,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",1,33,3,9/3/14,9/19/16,Cycle Inspection / Re-inspection
41483265,CHARLYS,1,110,TRINITY PLACE,10006,2125660006,0,12/18/13,Violations were cited in the following area(s).,10,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",0,10,0,12/18/13,9/19/16,Cycle Inspection / Initial Inspection
50018574,RESIDENCE INN WORLD TRADE CENTER,1,170,BROADWAY,10038,2126008900,0,1/23/15,Violations were cited in the following area(s).,6,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,1,5,0,1/23/15,9/19/16,Pre-permit (Operational) / Initial Inspection
41020964,POLONICA RESTAURANT,0,7214,3 AVENUE,11209,7186305805,35,7/30/14,Violations were cited in the following area(s).,6,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",1,12,0,7/30/14,9/19/16,Cycle Inspection / Initial Inspection
41575815,BLACKOUT LOUNGE,2,13316,39 AVENUE,11354,6462628298,33,6/19/14,Violations were cited in the following area(s).,6,"Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.",1,15,1,6/19/14,9/19/16,Cycle Inspection / Re-inspection
41052309,BEAN POST PUB,0,7525,5 AVENUE,11209,7187459413,0,3/19/14,Violations were cited in the following area(s).,10,Proper sanitization not provided for utensil ware washing operation.,0,12,0,3/19/14,9/19/16,Cycle Inspection / Initial Inspection
40612297,ISE MENKUI-TEI,1,58,WEST   56 STREET,10019,2127078702,5,7/30/13,Violations were cited in the following area(s).,6,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",1,9,0,7/30/13,9/19/16,Cycle Inspection / Re-inspection
50006695,PARIS BAGUETTE,1,2039,BROADWAY,10023,2124960404,14,6/19/14,Violations were cited in the following area(s).,10,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",0,9,0,6/19/14,9/19/16,Cycle Inspection / Initial Inspection
41424929,AAHELI,1,826,9 AVENUE,10019,2129699010,26,7/27/15,Violations were cited in the following area(s).,6,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",1,12,0,7/27/15,9/19/16,Cycle Inspection / Re-inspection
41086217,MIKES OLYMPIC GRILL,4,1637,FOREST AVENUE,10302,7184428685,0,5/11/16,Violations were cited in the following area(s).,4,Evidence of mice or live mice present in facility's food and/or non-food areas.,1,10,0,5/11/16,9/19/16,Cycle Inspection / Initial Inspection
41400734,JOHN'S FAMOUS DELI,4,15,INNIS STREET,10302,7188159100,36,10/3/14,Violations were cited in the following area(s).,6,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",1,9,0,10/3/14,9/19/16,Cycle Inspection / Initial Inspection
50046929,DMV NEWS,2,16846,91ST AVE,11432,3477205009,32,3/23/16,Violations were cited in the following area(s).,2,Cold food item held above 41퉌_ F (smoked fish and reduced oxygen packaged foods above 38 퉌_F) except during necessary preparation.,1,21,1,3/23/16,9/19/16,Pre-permit (Operational) / Re-inspection
40561040,ARTHUR'S TAVERN,1,57,GROVE STREET,10014,2126756879,0,6/10/16,Violations were cited in the following area(s).,4,Evidence of mice or live mice present in facility's food and/or non-food areas.,1,10,0,6/10/16,9/19/16,Cycle Inspection / Initial Inspection
40598699,BIG ALS CHICAGO PIZZA,1,9,THAMES STREET,10006,2129643269,7,3/13/15,Violations were cited in the following area(s).,6,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",1,11,0,3/13/15,9/19/16,Cycle Inspection / Initial Inspection
41384170,RAINES LAW ROOM,1,48,WEST   17 STREET,10011,2122420600,0,2/24/16,Violations were cited in the following area(s).,10,"Single service item reused, improperly stored, dispensed; not used when required.",0,2,0,2/24/16,9/19/16,Cycle Inspection / Initial Inspection
41432588,TOASTIES,1,23,EAST   51 STREET,10022,2123717676,0,9/4/15,Violations were cited in the following area(s).,6,Wiping cloths soiled or not stored in sanitizing solution.,1,13,0,9/4/15,9/19/16,Cycle Inspection / Initial Inspection
41294887,HAMPTON INN & SUITES,4,1120,SOUTH AVENUE,10314,7184771600,37,5/16/13,Violations were cited in the following area(s).,2,Cold food item held above 41퉌_ F (smoked fish and reduced oxygen packaged foods above 38 퉌_F) except during necessary preparation.,1,12,0,5/16/13,9/19/16,Cycle Inspection / Initial Inspection
40959634,SPUYTEN DUYVIL,0,359,METROPOLITAN AVENUE,11211,7189634140,0,6/6/14,Violations were cited in the following area(s).,4,Evidence of mice or live mice present in facility's food and/or non-food areas.,1,13,0,6/6/14,9/19/16,Cycle Inspection / Initial Inspection
40988969,LORETTA'S PIZZA,3,3276,LAYTON AVENUE,10465,7189315511,7,5/1/14,Violations were cited in the following area(s).,10,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",0,11,0,5/1/14,9/19/16,Cycle Inspection / Re-inspection
41381813,SUSHI TIME,2,7242,AUSTIN STREET,11375,7182610111,5,1/31/13,Violations were cited in the following area(s).,6,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",1,5,0,1/31/13,9/19/16,Cycle Inspection / Initial Inspection
50004859,VINNY'S PIT STOP,2,24121,BRADDOCK AVE,11426,7183437638,0,6/23/15,Violations were cited in the following area(s).,10,Proper sanitization not provided for utensil ware washing operation.,0,20,1,6/23/15,9/19/16,Cycle Inspection / Re-inspection
40965997,BONSIGNOUR,1,35,JANE STREET,10014,2122299700,0,5/26/15,Violations were cited in the following area(s).,8,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,0,11,0,5/26/15,9/19/16,Cycle Inspection / Re-inspection
41086967,IL SOLE,1,229233,DYCKMAN STREET,10034,2125440406,13,7/27/15,Violations were cited in the following area(s).,4,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",1,12,0,7/27/15,9/19/16,Cycle Inspection / Re-inspection
50013120,KUNG FU TEA,0,40,HOYT ST,11201,3472940232,24,3/12/15,Violations were cited in the following area(s).,10,Proper sanitization not provided for utensil ware washing operation.,0,12,0,3/12/15,9/19/16,Pre-permit (Operational) / Initial Inspection
41710990,POPEYES LOUISIANA KITCHEN,0,5100,KINGS PLAZA,11234,7183773508,17,12/8/14,Violations were cited in the following area(s).,10,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",0,7,0,12/8/14,9/19/16,Cycle Inspection / Re-inspection
50034756,THE LATE LATE,1,159,E HOUSTON ST,10002,6468613342,0,6/23/16,Violations were cited in the following area(s).,8,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,0,11,0,6/23/16,9/19/16,Cycle Inspection / Re-inspection
41497089,EL NUEVO TAINO,1,2228,AMSTERDAM AVENUE,10032,2125439635,2,5/24/13,Violations were cited in the following area(s).,4,Live roaches present in facility's food and/or non-food areas.,1,11,0,5/24/13,9/19/16,Cycle Inspection / Re-inspection
41686787,SPICE SYMPHONY,1,182,LEXINGTON AVENUE,10016,2125457742,26,1/20/15,Violations were cited in the following area(s).,10,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,0,13,0,1/20/15,9/19/16,Cycle Inspection / Re-inspection
40796892,MUZZARELLA PIZZA,1,221,AVENUE A,10009,2126140905,7,11/8/13,Violations were cited in the following area(s).,2,Hot food item not held at or above 140퉌_ F.,1,20,1,11/8/13,9/19/16,Cycle Inspection / Re-inspection
40660124,THE GRAND PROSPECT HALL,0,263,PROSPECT AVENUE,11215,7187880777,0,9/17/15,Violations were cited in the following area(s).,10,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",0,12,0,9/17/15,9/19/16,Cycle Inspection / Initial Inspection
50014916,HYACINTH HAVEN HARLEM,1,2374,ADAM CLAYTON POWELL JR BLVD,10030,6467558161,0,9/30/14,Violations were cited in the following area(s).,10,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,0,5,0,9/30/14,9/19/16,Pre-permit (Operational) / Initial Inspection
41177613,YAMA,1,308,EAST   49 STREET,10017,2123553370,5,3/14/16,Violations were cited in the following area(s).,10,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",0,9,0,3/14/16,9/19/16,Cycle Inspection / Re-inspection
50048616,THE TRADE UNION CAFE,0,346,MALCOLM X BLVD,11233,3477153936,9,9/13/16,Violations were cited in the following area(s).,10,Accurate thermometer not provided in refrigerated or hot holding equipment.,0,22,5,,9/19/16,Cycle Inspection / Initial Inspection
41663471,LA ADELITA MEXICAN RESTAURANT,2,5222,ROOSEVELT AVENUE,11377,7186510200,3,4/7/15,Violations were cited in the following area(s).,10,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,0,10,0,4/7/15,9/19/16,Cycle Inspection / Re-inspection
41157609,TONY'S PIZZA PASTA & GYRO,1,4771,BROADWAY,10034,2125447476,7,8/12/14,Violations were cited in the following area(s).,2,Hot food item not held at or above 140퉌_ F.,1,12,0,8/12/14,9/19/16,Cycle Inspection / Re-inspection
50004852,UNTAMED SANDWICHES,1,43,W 39TH ST,10018,6466699397,0,4/27/15,Violations were cited in the following area(s).,2,Hot food item not held at or above 140퉌_ F.,1,13,0,4/27/15,9/19/16,Cycle Inspection / Re-inspection
50001058,EL BLOQUE DELI,2,13207,JAMAICA AVE,11418,7187390330,23,6/22/15,Establishment re-opened by DOHMH,4,Live roaches present in facility's food and/or non-food areas.,1,9,2,6/22/15,9/19/16,Cycle Inspection / Reopening Inspection
41320205,DAI WAH YUMMY CITY,0,7218,18 AVENUE,11204,7188378818,1,8/19/15,Violations were cited in the following area(s).,6,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",1,13,0,8/19/15,9/19/16,Cycle Inspection / Re-inspection
41707393,ROCKEFELLER FOUNDATION,1,420,5 AVENUE,10018,2128528235,0,5/9/13,Violations were cited in the following area(s).,6,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",1,12,0,5/9/13,9/19/16,Pre-permit (Operational) / Re-inspection
41290351,JOE'S,1,480,AMSTERDAM AVENUE,10024,6469186510,0,8/26/13,Violations were cited in the following area(s).,6,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",1,23,1,8/26/13,9/19/16,Cycle Inspection / Re-inspection
41608874,DUNKIN' DONUTS,4,764,MANOR ROAD,10314,7183702615,0,2/4/15,Violations were cited in the following area(s).,10,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,0,13,0,2/4/15,9/19/16,Cycle Inspection / Re-inspection
41645432,MCDONALD'S,3,1101,EAST TREMONT AVENUE,10460,7188244123,11,4/30/13,Violations were cited in the following area(s).,6,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",1,32,3,4/30/13,9/19/16,Cycle Inspection / Re-inspection
41014851,CATERINA PIZZA,0,3035,FULTON STREET,11208,7182772571,7,4/30/15,Violations were cited in the following area(s).,2,Cold food item held above 41퉌_ F (smoked fish and reduced oxygen packaged foods above 38 퉌_F) except during necessary preparation.,1,13,0,4/30/15,9/19/16,Cycle Inspection / Initial Inspection
40876472,CORATO I PIZZA & RESTAURANT,2,6694,FRESH POND ROAD,11385,7184976177,8,1/21/16,Violations were cited in the following area(s).,6,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",1,18,1,1/21/16,9/19/16,Cycle Inspection / Re-inspection
41446753,TASTY GRILL,2,1422,150 STREET,11357,7187677200,18,8/5/14,Violations were cited in the following area(s).,10,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",0,10,0,8/5/14,9/19/16,Cycle Inspection / Initial Inspection
41453387,LOCAL BAR AND GRILL,2,3924,BELL BOULEVARD,11361,7182254522,0,4/5/16,Violations were cited in the following area(s).,10,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",0,13,0,4/5/16,9/19/16,Cycle Inspection / Initial Inspection
50005945,MITOUSHI JAPANESE FUSION,0,1712,SHEEPSHEAD BAY RD,11235,7183683255,5,6/25/14,Violations were cited in the following area(s).,9,Canned food product observed dented and not segregated from other consumable food items.,0,12,0,6/25/14,9/19/16,Cycle Inspection / Re-inspection
41365692,DUNKIN' DONUTS,0,1243,SURF AVENUE,11224,7182650102,10,3/7/16,Violations were cited in the following area(s).,10,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",0,13,0,3/7/16,9/19/16,Cycle Inspection / Initial Inspection
50017757,DUNKIN' DONUTS,2,2517,PARSONS BLVD,11354,7183538327,10,7/26/16,Violations were cited in the following area(s).,4,Food Protection Certificate not held by supervisor of food operations.,1,10,0,7/26/16,9/19/16,Cycle Inspection / Initial Inspection
41639187,NEW JIN BU RESTAURANT,0,49,MOTHER GASTON BOULEVARD,11233,7184553725,1,9/17/13,Violations were cited in the following area(s).,9,Thawing procedures improper.,0,6,0,9/17/13,9/19/16,Cycle Inspection / Initial Inspection
40399217,EL REY MEXICAN RESTAURANT,2,2521,ASTORIA BOULEVARD,11102,7185452292,3,7/9/15,Violations were cited in the following area(s).,10,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",0,9,0,7/9/15,9/19/16,Cycle Inspection / Re-inspection
41272088,ANTONIO'S TRATTORIA,3,2370,BELMONT AVENUE,10458,7187336630,13,8/29/16,Violations were cited in the following area(s).,2,Hot food item not held at or above 140퉌_ F.,1,9,0,8/29/16,9/19/16,Cycle Inspection / Re-inspection
40513021,BLUE MOUNTAIN RESTAURANT & JERK CENTER,0,169597,UTICA AVENUE,11234,7183382968,20,5/5/14,Violations were cited in the following area(s).,4,Evidence of mice or live mice present in facility's food and/or non-food areas.,1,13,0,5/5/14,9/19/16,Cycle Inspection / Re-inspection
40424430,MOTHER'S BAKE SHOP,3,548,WEST  235 STREET,10463,7187965676,38,1/29/16,Violations were cited in the following area(s).,10,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",0,11,0,1/29/16,9/19/16,Cycle Inspection / Initial Inspection
41020593,MAISON MAY,0,246,DEKALB AVENUE,11205,7187892778,14,12/13/13,Violations were cited in the following area(s).,8,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,0,17,1,12/13/13,9/19/16,Cycle Inspection / Re-inspection
50033352,NEW CHINA GARDEN,2,16412,69TH AVE,11365,7183536868,1,2/9/16,Violations were cited in the following area(s).,6,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",1,5,0,2/9/16,9/19/16,Cycle Inspection / Re-inspection
41235245,LA LANTERNA DI VITTORIO,1,129,MACDOUGAL STREET,10012,2125295945,13,7/22/14,Violations were cited in the following area(s).,4,Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.,1,7,0,7/22/14,9/19/16,Cycle Inspection / Initial Inspection
50044650,GOLDEN STEAMER,0,1964,86TH ST,11214,6466396289,1,3/22/16,Violations were cited in the following area(s).,10,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,0,4,0,3/22/16,9/19/16,Cycle Inspection / Initial Inspection
41660217,CHANGLE XIN FAN ZHUANG,1,36,ELDRIDGE STREET,10002,2122192228,1,1/12/16,Violations were cited in the following area(s).,6,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",1,19,1,1/12/16,9/19/16,Cycle Inspection / Re-inspection
40944872,40/40 CLUB,1,6,WEST   25 STREET,10010,2128324040,0,6/25/14,Violations were cited in the following area(s).,4,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",1,51,3,6/25/14,9/19/16,Cycle Inspection / Re-inspection
50034651,PIZZA STUDIO,0,528,GATEWAY DR,11239,7189641100,7,8/2/16,Violations were cited in the following area(s).,4,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",1,13,0,8/2/16,9/19/16,Cycle Inspection / Initial Inspection
41376986,WIMPYS RESTAURANT,1,23,EAST  109 STREET,10029,2123484252,0,7/9/13,Violations were cited in the following area(s).,10,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",0,12,0,7/9/13,9/19/16,Cycle Inspection / Re-inspection
50045446,PROPELLERHEAD,0,752,CONEY ISLAND AVE,11218,7188725023,0,9/6/16,Violations were cited in the following area(s).,6,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",1,21,5,,9/19/16,Pre-permit (Operational) / Initial Inspection
41558287,CHANG HENG,0,54,WILLOUGHBY STREET,11201,7184889288,1,9/8/14,Violations were cited in the following area(s).,2,Cold food item held above 41퉌_ F (smoked fish and reduced oxygen packaged foods above 38 퉌_F) except during necessary preparation.,1,7,0,9/8/14,9/19/16,Cycle Inspection / Initial Inspection
50011224,SAW SHACK,2,8422,37TH AVE,11372,7188982768,1,8/25/15,Violations were cited in the following area(s).,4,Live roaches present in facility's food and/or non-food areas.,1,20,1,8/25/15,9/19/16,Cycle Inspection / Re-inspection
41144262,BURGER KING,0,6421,14 AVENUE,11219,7182368074,11,4/24/14,Violations were cited in the following area(s).,2,Cold food item held above 41퉌_ F (smoked fish and reduced oxygen packaged foods above 38 퉌_F) except during necessary preparation.,1,17,1,4/24/14,9/19/16,Cycle Inspection / Re-inspection
41158299,MASSO,2,4725,VERNON BOULEVARD,11101,7184828151,13,6/24/13,Violations were cited in the following area(s).,6,"Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.",1,25,1,6/24/13,9/19/16,Cycle Inspection / Re-inspection
41334817,MONTAUK CLUB,0,25,8 AVENUE,11217,7186380800,0,6/27/14,Violations were cited in the following area(s).,4,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",1,12,0,6/27/14,9/19/16,Cycle Inspection / Re-inspection
41281381,RED BOWL CHINESE RESTAURANT,0,208,BEDFORD AVENUE,11249,7183888898,1,2/12/15,Violations were cited in the following area(s).,2,Hot food item not held at or above 140퉌_ F.,1,11,0,2/12/15,9/19/16,Cycle Inspection / Re-inspection
41365127,EL BATEY RESTAURANT,3,860,EAST TREMONT AVENUE,10460,7186179535,2,3/26/13,Violations were cited in the following area(s).,4,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",1,30,3,3/26/13,9/19/16,Cycle Inspection / Re-inspection
41674322,HAPPY TOWN CHINESE RESTAURANT,2,1803,COLLEGE POINT BOULEVARD,11356,7187621870,1,2/12/15,Violations were cited in the following area(s).,6,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",1,16,1,2/12/15,9/19/16,Cycle Inspection / Re-inspection
